from,to,value
E02000001,E02000362,8
E02000001,E02000363,3
E02000001,E02000367,6
E02000001,E02000369,5
E02000002,E02000360,1
E02000002,E02000361,2
E02000002,E02000362,4
E02000002,E02000363,3
E02000002,E02000364,3
E02000002,E02000366,1
E02000002,E02000367,3
E02000002,E02000368,2
E02000002,E02000369,1
E02000003,E02000360,11
E02000003,E02000361,5
E02000003,E02000362,1
E02000003,E02000363,12
E02000003,E02000364,2
E02000003,E02000367,1
E02000003,E02000369,1
E02000004,E02000361,6
E02000004,E02000362,4
E02000004,E02000363,9
E02000004,E02000366,1
E02000004,E02000367,1
E02000004,E02000368,3
E02000005,E02000360,1
E02000005,E02000361,5
E02000005,E02000362,9
E02000005,E02000363,15
E02000005,E02000366,1
E02000005,E02000367,4
E02000005,E02000369,2
E02000007,E02000360,2
E02000007,E02000361,6
E02000007,E02000362,9
E02000007,E02000363,8
E02000007,E02000364,1
E02000007,E02000366,1
E02000007,E02000367,3
E02000007,E02000369,1
E02000008,E02000361,9
E02000008,E02000362,9
E02000008,E02000363,11
E02000008,E02000364,2
E02000008,E02000367,3
E02000008,E02000369,4
E02000009,E02000361,11
E02000009,E02000362,7
E02000009,E02000363,12
E02000009,E02000367,3
E02000009,E02000369,1
E02000010,E02000360,1
E02000010,E02000361,1
E02000010,E02000362,8
E02000010,E02000363,12
E02000010,E02000364,2
E02000010,E02000366,1
E02000010,E02000367,2
E02000010,E02000368,2
E02000010,E02000369,4
E02000011,E02000361,6
E02000011,E02000362,1
E02000011,E02000363,10
E02000011,E02000364,1
E02000011,E02000366,1
E02000011,E02000367,2
E02000012,E02000361,7
E02000012,E02000362,16
E02000012,E02000363,9
E02000012,E02000367,3
E02000012,E02000368,2
E02000013,E02000360,1
E02000013,E02000361,4
E02000013,E02000362,5
E02000013,E02000363,6
E02000013,E02000366,1
E02000013,E02000367,3
E02000013,E02000368,1
E02000013,E02000369,2
E02000014,E02000361,3
E02000014,E02000362,5
E02000014,E02000363,4
E02000014,E02000364,1
E02000014,E02000367,3
E02000014,E02000368,2
E02000014,E02000369,3
E02000015,E02000360,1
E02000015,E02000361,7
E02000015,E02000362,8
E02000015,E02000363,3
E02000015,E02000367,5
E02000015,E02000369,2
E02000016,E02000361,3
E02000016,E02000362,2
E02000016,E02000363,7
E02000016,E02000364,2
E02000016,E02000367,3
E02000016,E02000369,6
E02000017,E02000361,2
E02000017,E02000363,5
E02000017,E02000364,3
E02000017,E02000366,1
E02000017,E02000367,7
E02000017,E02000369,1
E02000018,E02000360,2
E02000018,E02000361,6
E02000018,E02000362,5
E02000018,E02000363,4
E02000018,E02000367,4
E02000018,E02000369,2
E02000019,E02000360,3
E02000019,E02000361,3
E02000019,E02000362,7
E02000019,E02000363,8
E02000019,E02000367,8
E02000020,E02000361,10
E02000020,E02000362,8
E02000020,E02000363,10
E02000020,E02000367,5
E02000020,E02000368,1
E02000020,E02000369,3
E02000021,E02000361,2
E02000021,E02000362,5
E02000021,E02000363,8
E02000021,E02000364,2
E02000021,E02000367,4
E02000021,E02000368,1
E02000022,E02000362,5
E02000022,E02000363,5
E02000022,E02000364,1
E02000022,E02000366,1
E02000022,E02000367,4
E02000022,E02000369,2
E02000023,E02000360,2
E02000023,E02000361,5
E02000023,E02000362,2
E02000023,E02000363,14
E02000023,E02000364,1
E02000023,E02000366,1
E02000023,E02000367,2
E02000023,E02000369,1
E02000024,E02000362,2
E02000024,E02000363,1
E02000024,E02000364,1
E02000025,E02000360,1
E02000025,E02000361,1
E02000025,E02000363,1
E02000025,E02000369,2
E02000026,E02000363,2
E02000026,E02000367,1
E02000027,E02000369,1
E02000028,E02000367,1
E02000028,E02000368,1
E02000028,E02000369,1
E02000029,E02000363,2
E02000029,E02000367,6
E02000029,E02000369,1
E02000030,E02000361,1
E02000030,E02000363,1
E02000030,E02000369,1
E02000031,E02000366,1
E02000031,E02000367,1
E02000031,E02000369,2
E02000032,E02000360,1
E02000032,E02000361,2
E02000032,E02000363,1
E02000032,E02000364,1
E02000032,E02000366,1
E02000032,E02000367,4
E02000033,E02000361,3
E02000033,E02000362,1
E02000033,E02000363,1
E02000034,E02000362,2
E02000034,E02000364,1
E02000034,E02000367,2
E02000034,E02000369,2
E02000035,E02000367,4
E02000036,E02000360,12
E02000036,E02000362,1
E02000036,E02000363,1
E02000036,E02000369,2
E02000037,E02000368,2
E02000038,E02000363,3
E02000038,E02000364,3
E02000038,E02000367,6
E02000038,E02000369,2
E02000039,E02000362,1
E02000039,E02000367,2
E02000040,E02000363,3
E02000040,E02000367,1
