from,to,value
E02000001,E02000252,4
E02000001,E02000255,1
E02000002,E02000252,4
E02000003,E02000252,1
E02000004,E02000252,3
E02000007,E02000252,2
E02000007,E02000256,2
E02000008,E02000252,5
E02000009,E02000252,8
E02000009,E02000255,1
E02000010,E02000252,3
E02000011,E02000251,1
E02000011,E02000252,2
E02000012,E02000253,1
E02000012,E02000256,1
E02000013,E02000252,4
E02000013,E02000253,1
E02000014,E02000252,5
E02000014,E02000256,1
E02000016,E02000252,4
E02000017,E02000252,1
E02000017,E02000254,1
E02000017,E02000255,2
E02000017,E02000256,1
E02000018,E02000252,3
E02000019,E02000252,2
E02000019,E02000255,1
E02000020,E02000251,1
E02000020,E02000252,4
E02000020,E02000253,1
E02000021,E02000252,1
E02000022,E02000252,1
E02000022,E02000255,2
E02000024,E02000252,5
E02000025,E02000252,5
E02000026,E02000250,1
E02000026,E02000252,5
E02000027,E02000252,5
E02000028,E02000252,1
E02000029,E02000252,3
E02000029,E02000256,1
E02000030,E02000252,5
E02000030,E02000256,1
E02000030,E02000258,1
E02000031,E02000250,1
E02000031,E02000252,4
E02000032,E02000252,6
E02000033,E02000252,9
E02000033,E02000256,1
E02000034,E02000252,6
E02000035,E02000252,5
E02000036,E02000252,10
E02000036,E02000256,1
E02000037,E02000252,6
E02000037,E02000254,1
E02000038,E02000252,5
E02000038,E02000256,1
E02000039,E02000252,3
E02000040,E02000252,11
E02000041,E02000252,12
E02000041,E02000255,1
E02000041,E02000256,1
E02000042,E02000252,3
E02000043,E02000252,3
E02000044,E02000252,10
E02000044,E02000253,2
E02000045,E02000252,3
E02000045,E02000256,2
E02000046,E02000252,6
E02000047,E02000252,31
E02000047,E02000256,2
E02000048,E02000252,7
E02000048,E02000255,2
E02000048,E02000256,4
E02000049,E02000252,20
E02000049,E02000256,3
E02000049,E02000258,3
E02000049,E02000259,1
E02000050,E02000252,8
E02000051,E02000252,5
E02000051,E02000255,1
E02000052,E02000252,2
E02000054,E02000252,10
E02000054,E02000253,1
E02000055,E02000252,4
E02000055,E02000256,1
E02000056,E02000252,8
E02000056,E02000255,1
E02000057,E02000252,8
E02000057,E02000255,1
E02000057,E02000256,1
E02000058,E02000250,3
E02000058,E02000252,7
E02000058,E02000256,2
E02000059,E02000250,1
E02000059,E02000251,1
E02000059,E02000252,27
E02000059,E02000253,3
E02000059,E02000256,2
E02000060,E02000250,1
E02000060,E02000252,5
E02000061,E02000252,3
E02000062,E02000252,25
E02000062,E02000255,1
E02000063,E02000252,17
E02000064,E02000252,5
E02000064,E02000253,1
E02000066,E02000256,1
E02000068,E02000252,1
E02000069,E02000252,2
E02000071,E02000252,2
E02000072,E02000252,1
E02000073,E02000252,1
E02000078,E02000252,1
E02000080,E02000252,1
E02000082,E02000251,1
E02000083,E02000252,2
E02000084,E02000252,1
E02000089,E02000253,1
E02000093,E02000252,29
E02000093,E02000254,1
E02000093,E02000255,1
E02000093,E02000256,3
E02000093,E02000258,2
E02000094,E02000250,1
E02000094,E02000252,26
E02000094,E02000253,1
E02000094,E02000256,1
E02000094,E02000258,1
E02000095,E02000252,28
E02000095,E02000255,1
E02000095,E02000256,1
E02000096,E02000250,1
E02000096,E02000252,18
E02000096,E02000253,1
E02000096,E02000256,2
E02000097,E02000252,41
E02000097,E02000253,2
E02000097,E02000256,3
E02000098,E02000250,2
E02000098,E02000252,24
E02000099,E02000252,47
E02000099,E02000255,2
E02000099,E02000256,1
E02000099,E02000258,2
E02000100,E02000250,3
E02000100,E02000252,31
E02000100,E02000253,1
E02000100,E02000254,2
E02000100,E02000256,2
E02000100,E02000258,1
E02000101,E02000250,2
E02000101,E02000251,1
E02000101,E02000252,47
E02000101,E02000254,7
E02000101,E02000255,2
E02000101,E02000256,3
E02000102,E02000250,1
E02000102,E02000252,42
E02000102,E02000253,1
E02000102,E02000256,2
E02000103,E02000250,2
E02000103,E02000252,17
E02000103,E02000253,1
E02000103,E02000255,1
E02000103,E02000256,2
E02000104,E02000250,1
E02000104,E02000252,29
E02000104,E02000253,1
E02000104,E02000255,2
E02000104,E02000256,3
E02000104,E02000258,2
E02000104,E02000259,1
E02000105,E02000250,2
E02000105,E02000251,3
E02000105,E02000252,58
E02000105,E02000254,3
E02000105,E02000255,2
E02000105,E02000256,4
E02000106,E02000252,60
E02000106,E02000255,1
E02000106,E02000256,2
E02000106,E02000258,4
E02000106,E02000259,1
E02000107,E02000252,30
E02000107,E02000254,1
E02000107,E02000256,2
E02000107,E02000258,4
E02000108,E02000250,1
E02000108,E02000251,3
E02000108,E02000252,61
E02000108,E02000253,8
E02000108,E02000254,1
E02000108,E02000255,1
E02000108,E02000256,4
E02000108,E02000258,1
E02000110,E02000252,21
E02000110,E02000253,1
E02000110,E02000255,3
E02000110,E02000256,4
E02000110,E02000258,1
E02000111,E02000250,1
E02000111,E02000251,2
E02000111,E02000252,99
E02000111,E02000254,1
E02000111,E02000255,1
E02000111,E02000256,3
E02000111,E02000259,3
E02000112,E02000250,2
E02000112,E02000252,112
E02000112,E02000253,4
