areacd,areanm,parentcd,xmin,ymin,xmax,ymax
E02000001,City of London,E09000001,-0.114,51.508,-0.073,51.523
E02000002,Marks Gate,E09000002,0.126,51.577,0.151,51.599
E02000003,Chadwell Heath East,E09000002,0.129,51.565,0.151,51.587
E02000004,Eastbrookend,E09000002,0.163,51.546,0.19,51.566
E02000005,Becontree Heath,E09000002,0.134,51.553,0.154,51.568
E02000007,Central Park & Frizlands Lane,E09000002,0.147,51.551,0.169,51.566
E02000008,Becontree East,E09000002,0.124,51.545,0.15,51.56
E02000009,Becontree West,E09000002,0.106,51.546,0.13,51.557
E02000010,Dagenham North,E09000002,0.131,51.542,0.162,51.551
E02000011,Dagenham Eastbrook,E09000002,0.156,51.538,0.186,51.553
E02000012,Longbridge & Barking Park,E09000002,0.085,51.538,0.11,51.551
E02000013,Becontree South,E09000002,0.107,51.535,0.134,51.55
E02000014,Dagenham Central,E09000002,0.132,51.533,0.153,51.547
E02000015,Old Dagenham Park & Village,E09000002,0.148,51.529,0.175,51.543
E02000016,Barking Central,E09000002,0.067,51.534,0.086,51.545
E02000017,Barking East,E09000002,0.078,51.533,0.095,51.547
E02000018,Mayesbrook Park & Rippleside,E09000002,0.101,51.532,0.122,51.547
E02000019,Goresbrook & Scrattons Farm,E09000002,0.117,51.515,0.148,51.541
E02000020,Creekmouth & Barking Riverside,E09000002,0.081,51.514,0.135,51.538
E02000021,Rylands Estate & Dagenham Dock,E09000002,0.137,51.512,0.166,51.537
E02000022,Gascoigne Estate & Roding Riverside,E09000002,0.069,51.528,0.092,51.538
E02000023,Thames View,E09000002,0.096,51.518,0.127,51.535
E02000024,High Barnet & Hadley,E09000003,-0.222,51.645,-0.182,51.67
E02000025,Hadley Wood,E09000003,-0.195,51.647,-0.16,51.664
E02000026,Oak Hill,E09000003,-0.169,51.635,-0.142,51.658
E02000027,Ducks Island & Underhill,E09000003,-0.22,51.639,-0.184,51.653
E02000028,New Barnet West,E09000003,-0.19,51.638,-0.167,51.65
E02000029,New Barnet Town & East Barnet,E09000003,-0.175,51.633,-0.15,51.654
E02000030,Totteridge & Barnet Gate,E09000003,-0.273,51.623,-0.179,51.66
E02000031,Oakleigh Park,E09000003,-0.188,51.624,-0.16,51.643
E02000032,Osidge,E09000003,-0.152,51.622,-0.129,51.639
E02000033,Brunswick Park Road,E09000003,-0.162,51.615,-0.135,51.637
E02000034,Whetstone East,E09000003,-0.178,51.614,-0.152,51.632
E02000035,Woodside Park,E09000003,-0.195,51.616,-0.171,51.629
E02000036,Edgware East,E09000003,-0.273,51.612,-0.252,51.636
E02000037,Edgware Park,E09000003,-0.306,51.615,-0.266,51.641
E02000038,Friern Barnet,E09000003,-0.169,51.609,-0.139,51.623
E02000039,Mill Hill Park,E09000003,-0.256,51.605,-0.226,51.625
E02000040,Mill Hill East,E09000003,-0.246,51.604,-0.195,51.63
E02000041,Edgware Central,E09000003,-0.286,51.607,-0.26,51.619
E02000042,North Finchley,E09000003,-0.188,51.605,-0.167,51.618
E02000043,West Finchley,E09000003,-0.203,51.604,-0.183,51.626
E02000044,Mill Hill Broadway,E09000003,-0.264,51.602,-0.245,51.62
E02000045,Colney Hatch,E09000003,-0.171,51.597,-0.142,51.613
E02000046,Church End,E09000003,-0.2,51.594,-0.18,51.609
E02000047,Burnt Oak & Watling Park,E09000003,-0.275,51.594,-0.249,51.61
E02000048,Copthall & Downage,E09000003,-0.245,51.591,-0.194,51.613
E02000049,Grahame Park,E09000003,-0.256,51.597,-0.239,51.608
E02000050,Fallow Corner,E09000003,-0.188,51.591,-0.156,51.608
E02000051,Finchley Central,E09000003,-0.212,51.589,-0.185,51.601
E02000052,East Finchley,E09000003,-0.18,51.585,-0.157,51.599
E02000054,North Hendon & Sunny Hill,E09000003,-0.239,51.58,-0.218,51.602
E02000055,Hendon Central,E09000003,-0.234,51.579,-0.212,51.596
E02000056,Hampstead Garden Suburb,E09000003,-0.191,51.568,-0.161,51.594
E02000057,Hendon Park,E09000003,-0.232,51.576,-0.205,51.591
E02000058,Temple Fortune,E09000003,-0.206,51.574,-0.184,51.592
E02000059,West Hendon,E09000003,-0.255,51.568,-0.23,51.59
E02000060,Golders Green North,E09000003,-0.218,51.57,-0.2,51.59
E02000061,Golders Green South,E09000003,-0.209,51.561,-0.184,51.578
E02000062,Brent Cross & Staples Corner,E09000003,-0.235,51.555,-0.21,51.579
E02000063,North Cricklewood,E09000003,-0.22,51.559,-0.201,51.573
E02000064,Childs Hill,E09000003,-0.213,51.555,-0.192,51.567
E02000065,Crossway Park,E09000004,0.12,51.494,0.153,51.513
E02000066,South Thamesmead,E09000004,0.121,51.485,0.15,51.504
E02000067,Belvedere & Lessness Heath,E09000004,0.137,51.479,0.165,51.506
E02000068,Erith East,E09000004,0.157,51.475,0.187,51.504
